prefix_length,gap_ms,scenario,trials,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,next_turn_mean_ms,exposed_mean_ms,handoff_mean_ms,full_prefix_hit_rate,mean_cached_tokens,mean_transfer_bytes,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
130000,0.0,sticky,3,86.42183057963848,83.66322424262762,92.47708041220903,86.42183057963848,0.0,0.0,1,130004,0,127.85478510738191,3.819393239132155,1.0
130000,0.0,reroute,3,11049.444577346245,11059.32937655598,11107.333833351731,11049.444577346245,0.0,0.0,0,0,0,1.0,0.02987290022758511,127.85478510738191
130000,0.0,on-return,3,330.0789554292957,328.83129455149174,341.049250215292,83.6347412938873,246.4442141354084,246.4366847028335,1,130004,19169869824,33.47515615763963,1.0,3.819393239132155
130000,0.0,agentshift,3,308.1157247846325,307.4883045628667,309.82414446771145,82.76431541889906,225.35140936573347,242.4707543104887,1,130004,19169869824,35.86134587927835,1.0712824074786027,3.5652533939407953
130000,100.0,sticky,3,81.93983448048432,82.10866432636976,82.29527622461319,81.93983448048432,0.0,0.0,1,130004,0,134.9516153531341,4.044200976165331,1.0
130000,100.0,reroute,3,11057.913024909794,11064.365757629275,11074.51040390879,11057.913024909794,0.0,0.0,0,0,0,1.0,0.02996778486558078,134.9516153531341
130000,100.0,on-return,3,331.3811585928003,332.3540994897485,336.2765163183212,82.36080997933944,249.02034861346087,249.01234234372774,1,130004,19169869824,33.36916640604093,1.0,4.044200976165331
130000,100.0,agentshift,3,245.32877032955489,243.53458173573017,263.05292174220085,96.35305621971686,148.975714109838,249.67340317865214,1,130004,19169869824,45.07385338480883,1.350763541298681,2.994011055611603
130000,250.0,sticky,3,83.30948123087485,83.59347376972437,83.75209104269743,83.30948123087485,0.0,0.0,1,130004,0,132.66519028904096,4.02460835402334,1.0
130000,250.0,reroute,3,11052.268180375298,11044.534048996866,11078.107180073857,11052.268180375298,0.0,0.0,0,0,0,1.0,0.030336581474423134,132.66519028904096
130000,250.0,on-return,3,335.28803413112956,328.1406117603183,349.61478412151337,87.38450612872839,247.9035280024012,247.89319404711327,1,130004,19169869824,32.96350318321473,1.0,4.02460835402334
130000,250.0,agentshift,3,83.54027041544516,82.731987349689,87.11377158761024,83.53027359892924,0.009996816515922546,251.27057482798892,1,130004,19169869824,132.2986881106854,4.0134899308291025,1.0027702631340452
130000,500.0,sticky,3,84.73311023165782,84.51095875352621,85.2489285171032,84.73311023165782,0.0,0.0,1,130004,0,130.28702514426993,4.060287596319094,1.0
130000,500.0,reroute,3,11039.624863304198,11042.68238786608,11078.613207675517,11039.624863304198,0.0,0.0,0,0,0,1.0,0.031164174573968827,130.28702514426993
130000,500.0,on-return,3,344.0407964711388,343.33696588873863,354.5177197083831,86.89248282462358,257.1483136465152,257.1364523222049,1,130004,19169869824,32.08812727019222,1.0,4.060287596319094
130000,500.0,agentshift,3,84.40724946558475,83.94854981452227,87.34712935984135,84.37896395723025,0.028285508354504902,501.01967373241985,1,130004,19169869824,130.79000836066064,4.07596265308247,0.9961542687954901
130000,1000.0,sticky,3,84.75873464097579,84.29067395627499,86.92970313131809,84.75873464097579,0.0,0.0,1,130004,0,130.22145114991284,3.991854486769706,1.0
130000,1000.0,reroute,3,11037.405422578255,11042.541672475636,11054.72594499588,11037.405422578255,0.0,0.0,0,0,0,1.0,0.030654354190648853,130.22145114991284
130000,1000.0,on-return,3,338.3445351695021,328.93140334635973,359.91855524480343,83.92725357164939,254.4172815978527,254.40560281276703,1,130004,19169869824,32.62179309929978,1.0,3.991854486769706
130000,1000.0,agentshift,3,90.880053738753,85.24264302104712,103.34746446460485,90.86441590140264,0.0156378373503685,1001.0285821432869,1,130004,19169869824,121.45025193654449,3.7229790394063715,1.0722205106495057
