prefix_length,agent_count,return_pattern,scenario,trials,makespan_mean_ms,makespan_p95_ms,request_p95_mean_ms,relocated_fraction,ownership_relocated_fraction,full_prefix_hit_rate,reprefilled_tokens_mean,queue_relief_after_return_mean_ms,hbm_relief_mean_ms,speedup_vs_sticky,speedup_vs_reroute,speedup_vs_on_return
32768,8,simultaneous,sticky,3,777.3190718144178,780.7290507480502,777.3190718144178,0,0.0,1,0,0.0,0.0,1.0,7.181015478564049,1.6387313204225327
32768,8,simultaneous,tokencake-source,3,2175.9461226562657,2201.178058050573,2175.9461226562657,0,0.0,1,0,0.0,0.0,0.3572326831629052,2.565293427241789,0.5854083865776318
32768,8,simultaneous,reroute,3,5581.940286482374,5590.821868740022,5581.940286482374,0.5,0.0,0.5,131088,0.0,0.0,0.13925607081409117,1.0,0.22820328480202934
32768,8,simultaneous,on-return,3,1273.8171089440584,1277.2050872445107,1273.8171089440584,0.5,0.5,1,0,623.0594345058004,1788.89257243524,0.6102281609789204,4.382057869445301,1.0
32768,8,simultaneous,agentshift,3,733.06520935148,739.3683847039938,733.06520935148,0.5,0.5,1,0,0.0,1251.1553602914016,1.0603682481427372,7.6145208028908415,1.7376586594130756
