gap_ms,scenario,trials,ttl_expired,agent_makespan_mean_ms,agent_makespan_max_ms,post_tool_mean_ms,post_tool_p95_mean_ms,pressure_makespan_mean_ms,full_prefix_hit_rate,destination_full_hit_rate,relocated_fraction,ownership_relocated_fraction,speedup_vs_sticky,speedup_vs_ttl
400.0,sticky,3,False,8189.764232374728,8536.723930388689,6782.9551346367225,8189.764232374728,5962.946200432877,0.3333333333333333,,0,0.0,1.0,0.683134142177524
400.0,ttl,3,False,5594.707563519478,5624.89374447614,5594.341313194794,5594.707563519478,5963.198207629223,1,,0,0.0,1.4638413428034067,1.0
400.0,ttl-reroute,3,False,5608.473941373329,5647.507909685373,3465.0891852021837,5608.473941373329,5982.026204156379,0.5,0,0.5,0.0,1.460248245420095,0.9975454325012911
400.0,agentshift,3,False,5636.551592499018,5653.946368955076,3238.2925722825653,5636.551592499018,6010.528286298116,1,1,0.5,0.5,1.4529742339755147,0.9925763069329082
500.0,sticky,3,False,8427.015999952951,8613.942991010845,7034.767496438387,8427.015999952951,6015.927490778267,0.20833333333333334,,0,0.0,1.0,0.9550979465255119
500.0,ttl,3,True,8048.625676892698,8092.632665298879,6631.091707580102,8048.625676892698,6001.479468929271,0.3333333333333333,,0,0.0,1.0470130352995044,1.0
500.0,ttl-reroute,3,True,5537.349002746244,5541.099254973233,3423.932784042942,5537.349002746244,6011.258038692176,0.5,0,0.5,0.0,1.5218502564627188,1.4535160548668664
500.0,agentshift,3,False,5545.561659460266,5574.429741129279,3129.74847756171,5545.561659460266,6019.896308891475,1,1,0.5,0.5,1.5195964840778868,1.4513634814901775
