prefix_length,concurrency,mode,trials,throughput_tokens_per_second,throughput_change_fraction,ttft_p95_mean_ms,tpot_mean_ms,tpot_p95_mean_ms,tpot_p99_mean_ms,max_token_gap_mean_ms,migration_wall_mean_ms,migration_worker_mean_ms,migration_queue_mean_ms
4096,1,no-migration,3,52.71702676362992,0.0,41.93461841593186,18.87905018805873,19.527866194645565,20.072322028378647,20.35885490477085,0.0,0.0,0.0
4096,1,sync,3,52.57433045920031,-0.0027068352141599306,42.34066605567932,18.929290596176596,19.726766273379326,20.353696619470913,31.34452706823746,72.14398092279832,27.55589721103509,0.0
4096,1,async,3,52.647170943996635,-0.0013251092468947734,41.63244366645813,18.905235287654243,19.545235981543858,20.173318684101105,25.274529432257015,83.71498653044303,30.008641071617603,0.2622862036029498
4096,4,no-migration,3,200.7061667937956,0.0,67.05006305128336,19.768118852859036,20.50672595699628,21.0882102449735,40.45193952818712,0.0,0.0,0.0
4096,4,sync,3,199.80765815865945,-0.004476736562156969,65.02410334845383,19.860779056386427,20.6456392382582,21.172267695267994,40.78938470532497,67.8978431969881,22.918549987177055,0.0
4096,4,async,3,200.20010045924082,-0.002521428925872149,67.33293365687132,19.818362052814145,20.544501952826977,21.3147159665823,40.35829628507296,87.80366803208987,30.326193509002525,0.22723060101270676
4096,8,no-migration,3,398.02894503242715,0.0,69.98446583747864,19.908553122518448,20.68588665376107,21.359128256638844,41.16139467805624,0.0,0.0,0.0
4096,8,sync,3,396.8917944930201,-0.0028569543838437017,73.63258705784877,19.952211178553114,20.750102276603382,21.61675939957301,42.04239509999752,68.6543562139074,23.028630763292313,0.0
4096,8,async,3,398.520308518832,0.0012344918442170894,69.12752551337083,19.89028028340316,20.70090702424447,21.576538992424805,41.674407199025154,86.49566272894542,30.9283717845877,0.22888028373320898
16384,1,no-migration,3,52.79188965970365,0.0,42.262962398429714,18.850653231436134,19.54481719682614,20.051196217536926,20.593527394036453,0.0,0.0,0.0
16384,1,sync,3,52.59536529278644,-0.0037226242171667367,41.56844845662514,18.924278056163804,19.65050119906664,20.28736254821221,38.9230502769351,81.16984988252322,33.0176871890823,0.0
16384,1,async,3,52.79873703074806,0.00012970498098385796,43.2178620249033,18.84436319685645,19.633180151383083,20.154811441898346,28.653094545006752,88.94234771529834,33.07486573855082,0.2689228082696597
16384,4,no-migration,3,200.11571275753434,0.0,65.19359908998013,19.828214580375775,20.574706606566906,20.998213750620682,40.341057193775974,0.0,0.0,0.0
16384,4,sync,3,199.7194097301445,-0.0019803693669473432,65.1979660615325,19.868843414778123,20.571900221208733,21.13721116135518,40.743324595193066,78.33638414740562,28.956796042621136,0.0
16384,4,async,3,199.4319469052729,-0.003416852394244052,64.98626588533322,19.904549647840895,20.6850649168094,21.416283523042996,43.03984778622786,97.59242180734873,37.64011866102616,0.28265267610549927
16384,8,no-migration,3,398.81590442353314,0.0,67.25826083372037,19.880349783902513,20.668336500724156,21.320502894620102,41.59541614353657,0.0,0.0,0.0
16384,8,sync,3,396.75661067691186,-0.005163519618401113,70.00726275146008,19.973354813265402,20.78429205964009,21.738811085621517,41.73518189539512,79.12867950896423,29.308898995320003,0.0
16384,8,async,3,397.98373700864965,-0.0020865953580420094,67.26856715977192,19.92258786960365,20.7551767428716,21.593251265585423,41.928709484636784,93.43491991360982,32.85793587565422,0.2712402492761612
32768,1,no-migration,3,52.78651446594022,0.0,42.033860770364605,18.853650309048056,19.573040306568146,20.032599257926147,20.31095791608095,0.0,0.0,0.0
32768,1,sync,3,52.38298718033371,-0.0076445146963981525,41.91624062756697,19.000300239114203,19.776850938796997,20.220795335868996,49.15805875013272,95.09825892746449,38.65071230878433,0.0
32768,1,async,3,52.563305635565435,-0.004228519966379074,42.36035483578841,18.932832749499603,19.708976459999878,20.184834487736225,32.838343332211174,94.57768344630797,35.9059584637483,0.3092450400193532
32768,4,no-migration,3,200.20803837993427,0.0,65.74304619183143,19.817340381906117,20.588595420122147,20.97312392046054,41.00479589154323,0.0,0.0,0.0
32768,4,sync,3,198.8286592925629,-0.0068897287967715215,67.75203750779231,19.948717607854825,20.740911674996216,21.28361165523529,47.6230705777804,93.20403138796489,36.50088825573524,0.0
32768,4,async,3,198.31537489608675,-0.009453483981776034,66.0896555831035,20.00623504125994,20.746525687475998,21.85795238862435,40.77440003554026,100.68699344992638,38.4093780691425,0.3353217616677284
32768,8,no-migration,3,398.50330142727125,0.0,66.68414703259866,19.89667359602583,20.65687191983064,21.456289415558178,41.543692660828434,0.0,0.0,0.0
32768,8,sync,3,395.53204785127946,-0.007456032523068257,67.82298473020394,20.04422412247829,20.832553195456665,21.70521051933368,51.516332663595676,96.74110325674216,41.387718791762985,0.0
32768,8,async,3,396.2896651410135,-0.0055548756517938,73.22181947529316,19.983833822957394,20.86412316809098,21.500957819322746,41.89852097382148,100.12342004726331,37.91285306215286,0.37643034011125565
