prefix_length,agent_count,return_pattern,scenario,trials,makespan_mean_ms,makespan_p95_ms,request_p95_mean_ms,relocated_fraction,ownership_relocated_fraction,full_prefix_hit_rate,reprefilled_tokens_mean,queue_relief_after_return_mean_ms,hbm_relief_mean_ms,speedup_vs_sticky,speedup_vs_reroute,speedup_vs_on_return
8192,8,multi-wave,sticky,3,926.2482486665249,930.5028729140759,709.9542152136564,0,0.0,1,0,0.0,0.0,1.0,1.5778159192812586,1.0113776050632286
8192,8,multi-wave,agentix,3,1253.389881613354,1255.9615345671773,1253.389881613354,0.375,0.0,0.625,24588,0.0,0.0,0.7389945157960468,1.165997311284548,0.7474025035406661
8192,8,multi-wave,ttl,3,924.8082113141814,929.1427806019783,714.4223727906743,0,0.0,1,0,0.0,0.0,1.0015571199895565,1.5802727679890123,1.0129524413490625
8192,8,multi-wave,tokencake-source,3,920.6352277348439,922.6542664691806,723.7577652558684,0,0.0,1,0,0.0,0.0,1.0060969000127136,1.587435705179584,1.0175438731963968
8192,8,multi-wave,reroute,3,1461.4492319524288,1465.2340831235051,1461.4492319524288,0.5,0.0,0.5,32784,0.0,0.0,0.6337874956005827,1.0,0.6409984794195389
8192,8,multi-wave,ttl-reroute,3,1462.1101676796873,1465.5087422579527,1462.1101676796873,0.5,0.0,0.5,32784,0.0,0.0,0.6335009968068585,0.9995479576424071,0.6407087209556886
8192,8,multi-wave,on-return,3,936.7867354303598,943.1571150198579,919.3291890745362,0.5,0.5,1,0,274.5097363367677,1452.27540563792,0.9887503885727058,1.5600661032855456,1.0
8192,8,multi-wave,agentix-on-return,3,918.5061085348328,921.3045202195644,857.7331074823936,0.375,0.375,1,0,269.19513288885355,1430.0575945526361,1.0084290567691945,1.5911154192362191,1.0199025643113986
8192,8,multi-wave,agentshift,3,932.9296378418803,935.8093962073326,682.9296378418803,0.5,0.5,1,0,0.0,1446.4321996395786,0.9928382710717485,1.5665160293686862,1.0041343928116615
8192,8,simultaneous,sticky,3,696.2256378804644,700.0427534803748,696.2256378804644,0,0.0,1,0,0.0,0.0,1.0,2.1115732826009546,1.4373046066751727
8192,8,simultaneous,agentix,3,1262.848909633855,1269.3814849480987,1262.848909633855,0.375,0.0,0.625,24588,0.0,0.0,0.5513134885489389,1.1641388327574669,0.79240541681355
8192,8,simultaneous,ttl,3,699.7818180049459,703.3212557435036,699.7818180049459,0,0.0,1,0,0.0,0.0,0.9949181587275017,2.1008426023435285,1.4300004528038188
8192,8,simultaneous,tokencake-source,3,3421.4248474066458,8460.092829540372,3421.4248474066458,0,0.0,1,0,0.0,0.0,0.20348996951027173,0.4296839828951726,0.292477070589304
8192,8,simultaneous,reroute,3,1470.1314556101959,1483.9592026546597,1470.1314556101959,0.5,0.0,0.5,32784,0.0,0.0,0.47358053269562045,1.0,0.6806794812750975
8192,8,simultaneous,ttl-reroute,3,1471.021640424927,1473.3183551579714,1471.021640424927,0.5,0.0,0.5,32784,0.0,0.0,0.47329394670179636,0.9993948526722735,0.6802675699059656
8192,8,simultaneous,on-return,3,1000.6883166109521,1017.5530510023236,1000.6883166109521,0.5,0.5,1,0,356.67915269732475,1516.7076643556356,0.6957467438396637,1.4691202357484443,1.0
8192,8,simultaneous,agentix-on-return,3,919.2144855236014,935.4317802935839,919.2144855236014,0.375,0.375,1,0,278.2095978036523,1430.445526726544,0.7574136927181707,1.5993345174198186,1.0886341897026806
8192,8,simultaneous,agentshift,3,685.4368227844437,690.8003389835358,685.4368227844437,0.5,0.5,1,0,0.0,1199.2895401393373,1.0157400576353535,2.1448095677703662,1.459927864023799
16384,8,multi-wave,sticky,3,942.0369869718949,945.5097336322069,743.8426855951548,0,0.0,1,0,0.0,0.0,1.0,2.740850810466874,1.0115678544717042
16384,8,multi-wave,agentix,3,2100.4195356120667,2120.5689515918493,2100.3684398407736,0.375,0.0,0.625,49164,0.0,0.0,0.4484994407069173,1.2292700555554938,0.4536876169676556
16384,8,multi-wave,ttl,3,947.8122241174182,950.0121781602502,749.3104583894213,0,0.0,1,0,0.0,0.0,0.9939067707731866,2.7241501782022017,1.0054041396559321
16384,8,multi-wave,tokencake-source,3,1364.1943313802283,1387.1310893446207,1127.8572467466195,0,0.0,1,0,0.0,0.0,0.6905445692761277,1.8926796423639731,0.6985326883597396
16384,8,multi-wave,reroute,3,2581.98283923169,2589.955531992018,2581.98283923169,0.5,0.0,0.5,65552,0.0,0.0,0.36485021227027714,1.0,0.36907074642979004
16384,8,multi-wave,ttl-reroute,3,2578.8860420385995,2592.9877357557416,2578.8860420385995,0.5,0.0,0.5,65552,0.0,0.0,0.36528833442644804,1.0012008274668245,0.3695139367193044
