prefix_length,tool,scenario,trials,tool_mean_ms,prediction_mean_ms,prediction_abs_error_mean_ms,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,exposed_mean_ms,full_prefix_hit_rate,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
4096,control-plane-tests,sticky,3,485.5353891228636,474.06966146081686,11.465727662046751,44.48861846079429,43.72627194970846,46.717037446796894,0.0,1,3.0983467823620097,1.9727091193755855,1.0
4096,control-plane-tests,reroute,3,478.93287893384695,474.06966146081686,5.29022142291069,137.8411678597331,133.65233596414328,147.90992438793182,0.0,0,1.0,0.6366973285900877,3.0983467823620097
4096,control-plane-tests,agentix,3,475.5245928342144,474.06966146081686,2.828795462846756,42.09274177749952,42.014626786112785,42.316727340221405,0.0,1,3.2747015765415277,2.084993745713739,0.946146300645273
4096,control-plane-tests,ttl,3,477.9399891073505,474.06966146081686,3.870327646533648,134.01589076966047,133.3372825756669,135.5759296566248,0.0,0,1.0285434590488027,0.654870872715181,3.0123635079332103
4096,control-plane-tests,tokencake-source,3,479.118672820429,474.06966146081686,5.3993407636880875,43.08938638617595,42.2105873003602,45.01120559871197,0.0,1,3.198958709329768,2.036768464500258,0.9685485384121016
4096,control-plane-tests,tokencake-remote,3,479.94126627842587,474.06966146081686,5.8716048176089926,257.3604031155507,257.46964756399393,274.96753353625536,213.37060164660215,1,0.5355958655296503,0.34101245678662423,5.7848594094318795
4096,control-plane-tests,symphony,3,481.4035485809048,474.06966146081686,7.333887120087941,248.29260787616172,241.0112926736474,263.94033804535866,204.57592078795037,1,0.5551561483799095,0.3534664366238507,5.581036599169071
4096,control-plane-tests,on-return,3,478.3751651023825,474.06966146081686,4.608018323779106,87.76310334602992,86.7674695327878,91.99708234518766,44.417726807296276,1,1.5706049877960306,1.0,1.9727091193755855
4096,control-plane-tests,agentshift,3,483.0900679032008,474.06966146081686,9.020406442383925,44.83082890510559,44.65545900166035,45.9824874997139,0.033405919869740806,1,3.0746959453171065,1.9576506946101762,1.0076920897108297
4096,control-plane-tests,oracle,3,478.2436704263091,474.06966146081686,5.313616245985031,48.62127359956503,48.08969795703888,52.75558680295944,5.3215719138582545,1,2.8349970631161385,1.8050350566467896,1.0928924134250797
