prefix_length,gap_ms,scenario,trials,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,next_turn_mean_ms,exposed_mean_ms,handoff_mean_ms,full_prefix_hit_rate,mean_cached_tokens,mean_transfer_bytes,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
4096,0.0,sticky,3,42.56607498973608,42.248993180692196,43.23628079146147,42.56607498973608,0.0,0.0,1,4100,0,3.210495524101406,2.1429669818949324,1.0
4096,0.0,reroute,3,136.65819323311248,136.6060134023428,138.10788001865149,136.65819323311248,0.0,0.0,0,0,0,1.0,0.6674879207298483,3.210495524101406
4096,0.0,agentix,3,43.40125496188799,42.98477619886398,44.38476078212261,43.40125496188799,0.0,0.0,1,4100,0,3.148715246900495,2.1017293931239824,1.0196207889112
4096,0.0,ttl,3,42.32822762181362,42.13200602680445,42.74004604667425,42.32822762181362,0.0,0.0,1,4100,0,3.22853568200636,2.1550085693845484,0.9944122786049732
4096,0.0,tokencake-source,3,92.35203266143799,91.69063437730074,94.70214694738388,42.58006842186054,49.77196423957745,49.82077175130447,1,4100,1209139200,1.4797529550226645,0.9877172231419271,2.1696158897362925
4096,0.0,symphony,3,758.8462612281243,760.1222647354007,761.676968075335,44.563375102976956,714.2828861251473,714.3541670714816,1,4100,1209139200,0.18008679783431167,0.12020576223732127,17.827489647826447
4096,0.0,shared-cas,3,823.9818913862109,809.5296621322632,856.6486397758126,46.24738730490208,777.7345040813088,778.7316919614872,1,4100,1209139200,0.1658509667041445,0.11070351691638473,19.35771366246235
4096,0.0,on-return,3,91.21769325186808,89.99232202768326,94.58912536501884,44.31948562463125,46.89820762723684,46.89186438918114,1,4100,604569600,1.4981544518537122,1.0,2.1429669818949324
4096,0.0,agentshift,3,89.90125109752019,84.27676185965538,102.88505721837282,45.1117300738891,44.789521023631096,45.76404858380556,1,4100,604569600,1.5200922296940318,1.0146432017160683,2.1120399548043363
4096,0.0,oracle,3,79.36650142073631,76.66767295449972,86.00171655416489,44.50434787819783,34.862153542538486,43.590813564757504,1,4100,604569600,1.7218623825770327,1.1493223415292864,1.864548268541882
4096,100.0,sticky,3,43.06980191419522,43.04486699402332,44.142547994852066,43.06980191419522,0.0,0.0,1,4100,0,3.155158247252512,1.9891641514798917,1.0
4096,100.0,reroute,3,135.89204071710506,135.98214462399483,137.6330964267254,135.89204071710506,0.0,0.0,0,0,0,1.0,0.630448299451237,3.155158247252512
4096,100.0,agentix,3,43.51169212410847,42.968472465872765,44.687977991998196,43.51169212410847,0.0,0.0,1,4100,0,3.1231155140898674,1.9689628648477329,1.01025986167277
4096,100.0,ttl,3,42.33799750606219,42.23738797008991,42.618149891495705,42.33799750606219,0.0,0.0,1,4100,0,3.2096945704068145,2.023546483670845,0.9830088745336941
4096,100.0,tokencake-source,3,44.67960136632124,45.37995532155037,45.93271017074585,43.67791799207529,1.0016833742459614,100.63680758078893,1,4100,1209139200,3.0414783606269653,1.9174948602750066,1.0373765232385583
4096,100.0,symphony,3,661.7468455806375,660.2427950128913,667.7061170339584,45.182683815558754,616.5641617650787,717.2328568994999,1,4100,1209139200,0.20535351490473538,0.1294647742580247,15.364520294265267
4096,100.0,shared-cas,3,706.478802797695,705.5002925917506,710.1108180359006,45.39513712128004,661.083665676415,761.5564887722334,1,4100,1209139200,0.1923511932402856,0.12126748267575434,16.403112422136523
4096,100.0,on-return,3,85.67290597905715,86.49522438645363,87.21717726439238,43.028791745503746,42.64411423355341,42.63724417736133,1,4100,604569600,1.5861728881978632,1.0,1.9891641514798917
4096,100.0,agentshift,3,42.55916364490986,42.644547298550606,43.193016201257706,42.55057250459989,0.008591140309969584,100.24290066212416,1,4100,604569600,3.1930148310928557,2.0130307703850696,0.9881439373623621
4096,100.0,oracle,3,43.24957511077324,42.905873619019985,44.641259126365185,43.24957511077324,0.0,101.23391946156819,1,4100,604569600,3.1420433696527823,1.980895899199631,1.0041739963637673
4096,500.0,sticky,3,44.7120846559604,44.32081151753664,46.63872718811035,44.7120846559604,0.0,0.0,1,4100,0,3.1134115959605713,2.0234498840105113,1.0
4096,500.0,reroute,3,139.20712284743786,136.7323398590088,146.72109577804804,139.20712284743786,0.0,0.0,0,0,0,1.0,0.6499140321298322,3.1134115959605713
4096,500.0,agentix,3,44.142971436182656,44.2743981257081,45.441810972988605,44.142971436182656,0.0,0.0,1,4100,0,3.153551252178144,2.049537209831179,0.9872716017569563
4096,500.0,ttl,3,47.81791164229313,47.77606390416622,48.436776734888554,47.81791164229313,0.0,0.0,1,4100,0,2.911192021282553,1.8920245448559403,1.0694628087737508
4096,500.0,tokencake-source,3,46.1321206142505,45.51348742097616,47.62576520442963,44.433647145827614,1.6984734684228897,502.175205697616,1,4100,1209139200,3.0175747612269075,1.9611641803221953,1.0317595560398636
4096,500.0,symphony,3,259.88070635745925,258.84212646633387,266.0364303737879,46.41866280386845,213.46204355359077,713.6541828513145,1,4100,1209139200,0.535657782367122,0.34813150917994046,5.81231468756435
4096,500.0,shared-cas,3,320.32338871310156,320.74142806231976,323.2805114239454,47.999294474720955,272.3240942383806,772.8796529894074,1,4100,1209139200,0.4345830737077993,0.2824416377288119,7.164134510342059
