prefix_length,gap_ms,scenario,trials,post_tool_mean_ms,post_tool_median_ms,post_tool_p95_ms,next_turn_mean_ms,exposed_mean_ms,handoff_mean_ms,full_prefix_hit_rate,mean_cached_tokens,mean_transfer_bytes,speedup_vs_reroute,speedup_vs_on_return,overhead_vs_sticky
32768,500.0,sticky,5,54.38155755400658,54.113319143652916,58.1007981672883,54.38155755400658,0.0,0.0,1,32772,0,23.17845642064713,2.319401167214148,1.0
32768,500.0,reroute,5,1260.4805618524551,1259.3606235459447,1266.223406419158,1260.4805618524551,0.0,0.0,0,0,0,1.0,0.10006711081709693,23.17845642064713
32768,500.0,on-return,5,126.13264806568623,125.64241699874401,130.2059954032302,53.19259986281395,72.94004820287228,72.93049599975348,1,32772,4832428032,9.993293419131527,1.0,2.319401167214148
32768,500.0,agentshift,5,52.43848990648985,52.035145461559296,53.33777982741594,52.42780949920416,0.010680407285690308,501.33845675736666,1,32772,4832428032,24.03731617939777,2.4053447818693936,0.9642697315981239
32768,500.0,oracle,5,54.51543591916561,54.40305918455124,56.47299624979496,54.51543591916561,0.0,501.0483002290129,1,32772,4832428032,23.121535040487803,2.3137052091578827,1.0024618339595384
